    67/299     2.96G   0.05314     0.112   0.03072    0.1958       130       640    0.3227    0.5118    0.4188    0.2746   0.03871    0.3504   0.03281
    68/299     2.96G   0.04824    0.1085   0.03033     0.187       121       640    0.2898     0.626     0.452    0.2404   0.04787    0.3625   0.03247
    69/299     2.96G   0.04959    0.1108   0.02883    0.1892       123       640    0.4464    0.5475    0.4599    0.2488   0.04099    0.3447   0.03213
    70/299     2.96G    0.0491     0.111   0.02906    0.1892       130       640    0.4863    0.5707    0.4958    0.3308   0.03811    0.3436   0.03183
    71/299     2.96G    0.0492    0.1074    0.0291    0.1857        98       640    0.4058    0.6093    0.4624    0.2127   0.04499    0.3458   0.03208
    72/299     2.96G    0.0522    0.1048   0.02957    0.1865        96       640    0.5502     0.564    0.5055     0.314   0.04059     0.352   0.03144
    73/299     2.96G   0.05255    0.1094   0.02898    0.1909        97       640    0.4862    0.5865    0.5019     0.268   0.05131    0.3719   0.03126
    74/299     2.96G   0.05169    0.1137    0.0296     0.195       128       640    0.4345    0.5791    0.4259    0.2354   0.04549    0.3454   0.03105
    75/299     2.96G   0.05147    0.1065   0.02867    0.1867       122       640    0.5251    0.5424    0.4999    0.3099   0.04286    0.3448   0.03089
    76/299     2.96G   0.05027    0.1052    0.0291    0.1846        50       640    0.4399    0.5701    0.4598    0.2422   0.04646    0.3639    0.0307
    77/299     2.96G   0.05368    0.1163     0.029     0.199       130       640    0.4624     0.471    0.4904    0.2653   0.04359    0.3632   0.03106
    78/299     2.96G   0.05075    0.1095   0.02833    0.1886        82       640    0.4992    0.5111    0.5112    0.2838   0.04177    0.3431   0.03046
    79/299     2.96G   0.05114    0.1068   0.02871    0.1866        96       640    0.4412    0.4904    0.4671    0.1701   0.04988    0.3735   0.03007
    80/299     2.96G   0.05706    0.1143   0.03002    0.2014       126       640    0.5432    0.4802    0.5287    0.3064   0.04474    0.3631   0.02958
    81/299     2.96G   0.05014    0.1068   0.02741    0.1844       103       640     0.594    0.4855    0.5017    0.2447   0.04733    0.3694   0.02947
    82/299     2.96G   0.05446    0.1123   0.02786    0.1946       140       640    0.5574    0.4988    0.5734    0.2781   0.04332    0.3504   0.02913
    83/299     2.96G   0.05327     0.117   0.02837    0.1986       129       640    0.4777    0.6124    0.5585    0.2564   0.04927    0.3705   0.02895
    84/299     2.96G   0.05304      0.12   0.02836    0.2014       101       640    0.5102    0.5462    0.5737    0.3349   0.03981    0.3433   0.02877
    85/299     2.96G   0.04396    0.1015   0.02631    0.1718        77       640    0.4909    0.6477    0.5818    0.3255   0.04352     0.351   0.02813
    86/299     2.96G   0.05118    0.1045   0.02632     0.182        75       640    0.5341    0.6612     0.609    0.3488   0.03892    0.3378   0.02783
    87/299     2.96G   0.05007    0.1045   0.02707    0.1816        65       640    0.5641     0.523    0.5872    0.2709   0.04791     0.363   0.02786
    88/299     2.96G   0.05647    0.1092    0.0269    0.1925        82       640    0.4629    0.6125    0.6009     0.348   0.04464    0.3404   0.02774
    89/299     2.96G   0.04629    0.1021    0.0263    0.1747        66       640    0.4845     0.713    0.6133    0.3636   0.04167    0.3529   0.02721
    90/299     2.96G   0.04996    0.1057   0.02537     0.181       103       640    0.5032    0.7255    0.6211     0.317   0.04059    0.3377   0.02695
    91/299     2.96G   0.04909    0.1037   0.02493    0.1777        42       640    0.5694    0.6754     0.646    0.3948   0.03995    0.3445   0.02688
    92/299     2.96G    0.0489    0.1135   0.02534    0.1877       103       640    0.5745    0.6549    0.6839    0.4117   0.04048    0.3459   0.02668
    93/299     2.96G   0.04613    0.1016   0.02436    0.1721        76       640    0.4558    0.6459    0.5501    0.2602   0.04893    0.3523   0.02612
    94/299     2.96G   0.04898    0.1059   0.02424    0.1791       117       640    0.5728    0.6495    0.6773    0.4229   0.03675    0.3399   0.02561
    95/299     2.96G   0.04929    0.1053   0.02312    0.1778        90       640    0.5503    0.6766    0.6842    0.3794    0.0465    0.3501    0.0254
    96/299     2.96G   0.05138    0.1037   0.02493      0.18       118       640     0.634    0.5753    0.6979    0.4077   0.03776    0.3439   0.02528
    97/299     2.96G   0.04204     0.103   0.02376    0.1688       105       640    0.6014    0.5378    0.6924     0.346   0.04199    0.3437   0.02483
    98/299     2.96G   0.04681     0.106   0.02325    0.1761       121       640    0.6407    0.5857    0.7165    0.3892   0.04274    0.3497   0.02469
